Source IP,Destination IP,Protocol,Packet Length
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,165
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
13.89.179.13,172.26.50.148,TCP,1354
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,1354
172.26.50.148,13.89.179.13,TCP,503
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,1354
172.26.50.148,13.89.179.13,TCP,66
13.89.179.13,172.26.50.148,TCP,1354
172.26.50.148,13.89.179.13,TCP,503
13.89.179.13,172.26.50.148,TCP,165
13.89.179.13,172.26.50.148,TCP,1354
13.89.179.13,172.26.50.148,TCP,66
13.89.179.13,172.26.50.148,TCP,78
13.89.179.13,172.26.50.148,TCP,66
13.89.179.13,172.26.50.148,TCP,78
13.89.179.13,172.26.50.148,TCP,66
13.89.179.13,172.26.50.148,TCP,78
13.89.179.13,172.26.50.148,TCP,66
13.89.179.13,172.26.50.148,TCP,734
172.26.50.148,13.89.179.13,TCP,66
172.26.50.148,13.89.179.13,TCP,66
